




Ticket,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
EA053,SCP,c,1,2021-08-16 13:51:42,A0430114,2021-08-16 13:51:48,A0430114,2021-08-16 13:52:11,A0430114,2021-08-16 14:02:27,A0430114,None,None,None,None,6,23,616,645
EA057,SCP,c,1,2021-08-16 13:56:52,A0430114,2021-08-16 14:04:04,A0430114,2021-08-16 14:04:54,A0430114,2021-08-16 14:06:24,A0430114,None,None,None,None,432,50,90,572
EA058,SCP,c,1,2021-08-16 14:02:33,A0430114,2021-08-16 14:06:25,A0430114,2021-08-16 14:06:45,A0430114,2021-08-16 14:08:56,A0430114,None,None,None,None,232,20,131,383
EA059,SCP,c,1,2021-08-16 14:08:10,966457,2021-08-16 14:19:25,966457,2021-08-16 14:23:58,966457,2021-08-16 14:23:59,966457,None,None,None,None,675,273,1,949
EB003,SCP,c,1,2021-08-16 14:09:26,966457,2021-08-16 14:24:00,966457,2021-08-16 14:24:10,966457,2021-08-16 14:26:36,966457,None,None,None,None,874,10,146,1030
AA045,SCP,c,1,2021-08-16 14:15:44,931881,2021-08-16 14:24:38,931881,2021-08-16 14:28:00,931881,2021-08-16 14:28:01,931881,None,None,None,None,534,202,1,737
AA046,SCP,c,1,2021-08-16 14:16:12,966457,2021-08-16 14:26:37,966457,2021-08-16 14:26:49,966457,2021-08-16 14:30:07,966457,None,None,None,None,625,12,198,835
AA047,SCP,c,1,2021-08-16 14:18:23,931881,2021-08-16 14:28:01,931881,2021-08-16 14:28:31,931881,2021-08-16 14:32:32,931881,None,None,None,None,578,30,241,849
EA064,SCP,c,1,2021-08-16 14:18:50,966457,2021-08-16 14:30:07,966457,2021-08-16 14:32:43,966457,2021-08-16 14:32:44,966457,None,None,None,None,677,156,1,834
AA048,SCP,c,1,2021-08-16 14:19:06,931881,2021-08-16 14:32:33,931881,2021-08-16 14:32:48,931881,2021-08-16 15:53:03,931881,None,None,None,None,807,15,4815,5637
AA049,SCP,c,1,2021-08-16 14:19:13,966457,2021-08-16 14:32:44,966457,2021-08-16 14:32:59,966457,2021-08-16 14:36:33,966457,None,None,None,None,811,15,214,1040
EA067,SCP,c,1,2021-08-16 14:21:36,966457,2021-08-16 14:36:33,966457,2021-08-16 14:36:45,966457,2021-08-16 14:39:05,966457,None,None,None,None,897,12,140,1049
EA069,SCP,c,1,2021-08-16 14:24:25,966457,2021-08-16 14:39:06,966457,2021-08-16 14:39:18,966457,2021-08-16 14:42:14,966457,None,None,None,None,881,12,176,1069
EA071,SCP,c,1,2021-08-16 14:28:58,966457,2021-08-16 14:42:14,966457,2021-08-16 14:43:30,966457,2021-08-16 14:45:08,966457,None,None,None,None,796,76,98,970
EA072,SCP,c,1,2021-08-16 14:33:18,966457,2021-08-16 14:45:08,966457,2021-08-16 14:45:19,966457,2021-08-16 14:58:16,966457,None,None,None,None,710,11,777,1498
EA074,SCP,c,1,2021-08-16 14:34:57,966457,2021-08-16 14:58:17,966457,2021-08-16 14:58:35,966457,2021-08-16 15:04:58,966457,None,None,None,None,1400,18,383,1801
EA075,SCP,c,1,2021-08-16 14:48:21,A0430114,2021-08-16 15:01:04,A0430114,2021-08-16 15:01:21,A0430114,2021-08-16 15:07:46,A0430114,None,None,None,None,763,17,385,1165
EA081,SCP,c,1,2021-08-16 15:08:33,A0430114,2021-08-16 15:08:55,A0430114,2021-08-16 15:09:24,A0430114,2021-08-16 15:16:02,A0430114,None,None,None,None,22,29,398,449
EA082,SCP,c,1,2021-08-16 15:10:56,A0430114,2021-08-16 15:16:04,A0430114,2021-08-16 15:16:35,A0430114,2021-08-16 15:42:46,A0430114,None,None,None,None,308,31,1571,1910
EA090,SCP,c,1,2021-08-16 15:28:11,A0430114,2021-08-16 15:42:48,A0430114,2021-08-16 15:43:40,A0430114,2021-08-16 15:52:57,A0430114,None,None,None,None,877,52,557,1486
AA065,SCP,c,1,2021-08-16 15:29:18,931881,2021-08-16 15:53:03,931881,2021-08-16 15:53:16,931881,2021-08-16 17:38:58,931881,None,None,None,None,1425,13,6342,7780
EA092,SCP,c,1,2021-08-16 15:31:02,A0430114,2021-08-16 15:52:59,A0430114,2021-08-16 15:53:19,A0430114,2021-08-16 16:00:17,A0430114,None,None,None,None,1317,20,418,1755
AA066,SCP,c,1,2021-08-16 15:35:37,966457,2021-08-16 15:54:23,966457,2021-08-16 15:58:27,966457,2021-08-16 15:58:28,966457,None,None,None,None,1126,244,1,1371
AA067,SCP,c,1,2021-08-16 15:36:27,966457,2021-08-16 15:58:28,966457,2021-08-16 15:59:05,966457,2021-08-16 16:03:04,966457,None,None,None,None,1321,37,239,1597
AA069,SCP,c,1,2021-08-16 15:37:01,966457,2021-08-16 16:03:04,966457,2021-08-16 16:08:11,966457,2021-08-16 16:08:12,966457,None,None,None,None,1563,307,1,1871
EA094,SCP,c,1,2021-08-16 15:39:53,A0430114,2021-08-16 16:00:18,A0430114,2021-08-16 16:00:42,A0430114,2021-08-16 16:06:09,A0430114,None,None,None,None,1225,24,327,1576
AA070,SCP,c,1,2021-08-16 15:46:48,966457,2021-08-16 16:08:12,966457,2021-08-16 16:08:24,966457,2021-08-16 16:08:24,966457,None,None,None,None,1284,12,0,1296
AA071,SCP,c,1,2021-08-16 15:52:48,966457,2021-08-16 16:08:25,966457,2021-08-16 16:08:34,966457,2021-08-16 16:08:35,966457,None,None,None,None,937,9,1,947
AA072,SCP,c,1,2021-08-16 15:54:40,966457,2021-08-16 16:08:35,966457,2021-08-16 16:08:49,966457,2021-08-16 16:12:13,966457,None,None,None,None,835,14,204,1053
EA095,SCP,c,1,2021-08-16 15:56:57,A0430114,2021-08-16 16:06:09,A0430114,2021-08-16 16:06:44,A0430114,2021-08-16 16:22:22,A0430114,None,None,None,None,552,35,938,1525
EB007,SCP,c,1,2021-08-16 15:59:38,966457,2021-08-16 16:12:13,966457,2021-08-16 16:13:13,966457,2021-08-16 17:19:58,966457,None,None,None,None,755,60,4005,4820
EA098,SCP,c,1,2021-08-16 16:08:09,A0430114,2021-08-16 16:22:22,A0430114,2021-08-16 16:22:41,A0430114,2021-08-16 16:27:37,A0430114,None,None,None,None,853,19,296,1168
EA101,SCP,c,1,2021-08-16 16:17:07,A0430114,2021-08-16 16:27:38,A0430114,2021-08-16 16:28:06,A0430114,2021-08-16 16:33:27,A0430114,None,None,None,None,631,28,321,980
EA102,SCP,c,1,2021-08-16 16:19:58,A0430114,2021-08-16 16:33:27,A0430114,2021-08-16 16:34:20,A0430114,2021-08-16 16:36:42,A0430114,None,None,None,None,809,53,142,1004
EA103,SCP,c,1,2021-08-16 16:26:19,A0430114,2021-08-16 16:36:42,A0430114,2021-08-16 16:36:59,A0430114,2021-08-16 16:39:03,A0430114,None,None,None,None,623,17,124,764
EA105,SCP,c,1,2021-08-16 16:32:29,A0430114,2021-08-16 16:39:10,A0430114,2021-08-16 16:39:35,A0430114,2021-08-16 17:07:19,A0430114,None,None,None,None,401,25,1664,2090
EB009,SCP,c,1,2021-08-16 17:06:53,A0430114,2021-08-16 17:07:20,A0430114,2021-08-16 17:07:47,A0430114,2021-08-16 18:33:27,A0430114,None,None,None,None,27,27,5140,5194
EA120,SCP,c,1,2021-08-16 17:38:29,931881,2021-08-16 17:38:59,931881,2021-08-16 17:39:16,931881,2021-08-16 18:00:57,931881,None,None,None,None,30,17,1301,1348
EA123,SCP,c,1,2021-08-16 18:00:48,931881,2021-08-16 18:00:57,931881,2021-08-16 18:01:34,931881,2021-08-16 18:12:52,931881,None,None,None,None,9,37,678,724
EB010,SCP,c,1,2021-08-16 18:12:43,931881,2021-08-16 18:12:53,931881,2021-08-16 18:13:30,931881,2021-08-16 18:22:27,931881,None,None,None,None,10,37,537,584
AA097,SCP,c,1,2021-08-16 18:22:08,931881,2021-08-16 18:22:27,931881,2021-08-16 18:23:17,931881,2021-08-16 18:34:29,931881,None,None,None,None,19,50,672,741
EB011,SCP,c,1,2021-08-16 18:30:56,A0430114,2021-08-16 18:33:28,A0430114,2021-08-16 18:34:02,A0430114,2021-08-16 18:36:36,A0430114,None,None,None,None,152,34,154,340
EA128,SCP,c,1,2021-08-16 18:31:46,931881,2021-08-16 18:34:29,931881,2021-08-16 18:34:46,931881,2021-08-16 18:40:56,931881,None,None,None,None,163,17,370,550
EA129,SCP,c,1,2021-08-16 18:40:48,931881,2021-08-16 18:40:57,931881,2021-08-16 18:41:11,931881,2021-08-16 18:55:26,931881,None,None,None,None,9,14,855,878
EA130,SCP,c,1,2021-08-16 18:44:42,A0430114,2021-08-16 18:44:42,A0430114,None,A0430114,None,A0430114,None,None,None,None,0,None,None,None
EA132,SCP,c,1,2021-08-16 18:55:18,931881,2021-08-16 18:55:26,931881,2021-08-16 18:55:41,931881,2021-08-16 19:31:02,931881,None,None,None,None,8,15,2121,2144
EA133,SCP,c,1,2021-08-16 19:02:53,A0430114,2021-08-16 19:03:16,A0430114,2021-08-16 19:03:43,A0430114,2021-08-16 19:12:17,A0430114,None,None,None,None,23,27,514,564
EA134,SCP,c,1,2021-08-16 19:30:57,931881,2021-08-16 19:31:02,931881,2021-08-16 19:31:19,931881,2021-08-16 23:00:14,931881,None,None,None,None,5,17,12535,12557
