Ticket,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
DA204,HHT,c,1,2020-05-09 16:36:09,1371590,2020-05-09 16:36:51,1371590,2020-05-09 16:36:59,1371590,2020-05-09 16:37:00,1371590,None,None,None,None,42,8,1,51
DA205,HHT,c,1,2020-05-09 16:38:22,1498468,2020-05-09 16:38:22,1498468,2020-05-09 16:38:28,1498468,2020-05-09 16:40:27,1498468,None,None,None,None,0,6,119,125
DA206,HHT,c,1,2020-05-09 16:38:30,1498468,2020-05-09 16:40:28,1498468,2020-05-09 16:40:46,1498468,2020-05-09 16:46:12,1498468,None,None,None,None,118,18,326,462
DA207,HHT,c,1,2020-05-09 16:38:53,1456755,2020-05-09 16:43:08,1456755,None,1456755,None,1456755,None,None,None,None,255,None,None,None
DA209,HHT,c,1,2020-05-09 16:43:33,1498468,2020-05-09 16:46:12,1498468,2020-05-09 16:46:25,1498468,2020-05-09 16:48:56,1498468,None,None,None,None,159,13,151,323
DA211,HHT,c,1,2020-05-09 16:46:08,1498468,2020-05-09 16:48:56,1498468,2020-05-09 16:49:00,1498468,2020-05-09 16:49:00,1498468,None,None,None,None,168,4,0,172
DA212,HHT,c,1,2020-05-09 16:47:23,1466655,2020-05-09 16:50:45,1466655,2020-05-09 16:50:50,1466655,2020-05-09 16:56:17,1466655,None,None,None,None,202,5,327,534
DA213,HHT,c,1,2020-05-09 16:48:33,1498468,2020-05-09 16:50:49,1498468,2020-05-09 16:51:03,1498468,2020-05-09 16:51:04,1498468,None,None,None,None,136,14,1,151
DA214,HHT,c,1,2020-05-09 16:50:50,1498468,2020-05-09 16:53:00,1498468,2020-05-09 16:53:05,1498468,2020-05-09 16:53:06,1498468,None,None,None,None,130,5,1,136
FA002,HHT,c,1,2020-05-09 16:54:08,101001,2020-05-09 16:54:08,101001,2020-05-09 17:03:27,101001,2020-05-09 17:03:27,101001,None,None,None,None,0,559,0,559
DA216,HHT,c,1,2020-05-09 16:55:50,1498468,2020-05-09 16:55:51,1498468,2020-05-09 16:56:00,1498468,2020-05-09 16:56:04,1498468,None,None,None,None,1,9,4,14
DA217,HHT,c,1,2020-05-09 16:56:28,1466655,2020-05-09 16:56:28,1466655,2020-05-09 16:57:09,1466655,2020-05-09 17:00:46,1466655,None,None,None,None,0,41,217,258
DA218,HHT,c,1,2020-05-09 16:57:26,1498468,2020-05-09 16:58:12,1498468,2020-05-09 16:58:28,1498468,2020-05-09 17:01:32,1498468,None,None,None,None,46,16,184,246
DA219,HHT,c,1,2020-05-09 17:00:35,1466655,2020-05-09 17:00:46,1466655,2020-05-09 17:00:55,1466655,2020-05-09 17:12:51,1466655,None,None,None,None,11,9,716,736
DA220,HHT,c,1,2020-05-09 17:01:32,1498468,2020-05-09 17:01:33,1498468,2020-05-09 17:01:54,1498468,2020-05-09 17:32:49,1498468,None,None,None,None,1,21,1855,1877
DA222,HHT,c,1,2020-05-09 17:11:27,1584705,2020-05-09 17:11:27,1584705,2020-05-09 17:17:05,1584705,2020-05-09 17:17:06,1584705,None,None,None,None,0,338,1,339
DB015,HHT,c,1,2020-05-09 17:12:45,1466655,2020-05-09 17:12:52,1466655,2020-05-09 17:15:43,1466655,2020-05-09 17:18:01,1466655,None,None,None,None,7,171,138,316
DA224,HHT,c,1,2020-05-09 17:15:36,1371590,2020-05-09 17:15:44,1371590,2020-05-09 17:15:58,1371590,2020-05-09 17:19:38,1371590,None,None,None,None,8,14,220,242
DB016,HHT,c,1,2020-05-09 17:16:09,1456755,2020-05-09 17:16:10,1456755,2020-05-09 17:18:55,1456755,2020-05-09 17:18:55,1456755,None,None,None,None,1,165,0,166
DA225,HHT,c,1,2020-05-09 17:17:20,1584705,2020-05-09 17:17:20,1584705,2020-05-09 17:22:16,1584705,2020-05-09 17:22:16,1584705,None,None,None,None,0,296,0,296
DA226,HHT,c,1,2020-05-09 17:17:39,1466655,2020-05-09 17:18:01,1466655,2020-05-09 17:18:26,1466655,2020-05-09 17:44:54,1466655,None,None,None,None,22,25,1588,1635
DA227,HHT,c,1,2020-05-09 17:19:21,1371590,2020-05-09 17:19:38,1371590,2020-05-09 17:19:48,1371590,2020-05-09 17:19:49,1371590,None,None,None,None,17,10,1,28
DA228,HHT,c,1,2020-05-09 17:23:38,1584705,2020-05-09 17:23:38,1584705,2020-05-09 17:46:58,1584705,2020-05-09 17:46:59,1584705,None,None,None,None,0,1400,1,1401
DA229,HHT,c,1,2020-05-09 17:24:26,1456755,2020-05-09 17:24:26,1456755,None,1456755,None,1456755,None,None,None,None,0,None,None,None
DA230,HHT,c,1,2020-05-09 17:30:56,1371590,2020-05-09 17:31:23,1371590,2020-05-09 17:31:34,1371590,2020-05-09 17:31:35,1371590,None,None,None,None,27,11,1,39
DA231,HHT,c,1,2020-05-09 17:32:46,1456755,2020-05-09 17:32:46,1456755,None,1456755,None,1456755,None,None,None,None,0,None,None,None
DA232,HHT,c,1,2020-05-09 17:39:03,1498468,2020-05-09 17:39:03,1498468,2020-05-09 17:39:11,1498468,2020-05-09 17:39:11,1498468,None,None,None,None,0,8,0,8
DA233,HHT,c,1,2020-05-09 17:44:39,1498468,2020-05-09 17:44:44,1498468,2020-05-09 17:44:55,1498468,2020-05-09 17:47:05,1498468,None,None,None,None,5,11,130,146
DA234,HHT,c,1,2020-05-09 17:45:50,1466655,2020-05-09 17:45:50,1466655,2020-05-09 17:46:03,1466655,2020-05-09 17:55:52,1466655,None,None,None,None,0,13,589,602
DA235,HHT,c,1,2020-05-09 17:47:07,1584705,2020-05-09 17:47:07,1584705,2020-05-09 17:47:28,1584705,2020-05-09 17:51:50,1584705,None,None,None,None,0,21,262,283
FA003,HHT,c,1,2020-05-09 17:48:57,101001,2020-05-09 17:48:57,101001,2020-05-09 17:49:54,101001,2020-05-09 17:49:54,101001,None,None,None,None,0,57,0,57
DA236,HHT,c,1,2020-05-09 17:51:05,1456755,2020-05-09 17:51:05,1456755,2020-05-09 17:56:41,1456755,2020-05-09 17:56:42,1456755,None,None,None,None,0,336,1,337
DA237,HHT,c,1,2020-05-09 17:52:31,1584705,2020-05-09 17:52:32,1584705,2020-05-09 17:55:58,1584705,2020-05-09 17:57:26,1584705,None,None,None,None,1,206,88,295
DA238,HHT,c,1,2020-05-09 17:55:46,1466655,2020-05-09 17:55:53,1466655,2020-05-09 17:56:07,1466655,2020-05-09 18:12:00,1466655,None,None,None,None,7,14,953,974
AB005,HHT,c,1,2020-05-09 17:57:44,1584705,2020-05-09 17:57:45,1584705,2020-05-09 18:02:25,1584705,2020-05-09 18:02:26,1584705,None,None,None,None,1,280,1,282
DA239,HHT,c,1,2020-05-09 18:02:48,1584705,2020-05-09 18:02:48,1584705,2020-05-09 18:05:03,1584705,2020-05-09 18:05:08,1584705,None,None,None,None,0,135,5,140
AA017,HHT,c,1,2020-05-09 18:11:54,1466655,2020-05-09 18:12:00,1466655,2020-05-09 18:12:18,1466655,2020-05-09 18:16:15,1466655,None,None,None,None,6,18,237,261
DB017,HHT,c,1,2020-05-09 18:14:38,1456755,2020-05-09 18:14:38,1456755,None,1456755,None,1456755,None,None,None,None,0,None,None,None
DA240,HHT,c,1,2020-05-09 18:15:55,1466655,2020-05-09 18:16:15,1466655,2020-05-09 18:16:25,1466655,2020-05-09 18:19:24,1466655,None,None,None,None,20,10,179,209
DB018,HHT,c,1,2020-05-09 18:18:38,1466655,2020-05-09 18:19:24,1466655,2020-05-09 18:20:05,1466655,2020-05-09 18:25:32,1466655,None,None,None,None,46,41,327,414
AB007,HHT,c,1,2020-05-09 18:23:42,1466655,2020-05-09 18:25:32,1466655,2020-05-09 18:26:10,1466655,2020-05-09 18:34:30,1466655,None,None,None,None,110,38,500,648
DA242,HHT,c,1,2020-05-09 18:26:08,1456755,2020-05-09 18:26:08,1456755,2020-05-09 18:27:31,1456755,2020-05-09 18:29:00,1456755,None,None,None,None,0,83,89,172
DB019,HHT,c,1,2020-05-09 18:28:35,1456755,2020-05-09 18:29:01,1456755,2020-05-09 18:32:31,1456755,2020-05-09 18:33:43,1456755,None,None,None,None,26,210,72,308
DA243,HHT,c,1,2020-05-09 18:32:55,1456755,2020-05-09 18:33:43,1456755,None,1456755,None,1456755,None,None,None,None,48,None,None,None
AA018,HHT,c,1,2020-05-09 18:35:24,1584705,2020-05-09 18:35:24,1584705,2020-05-09 18:35:38,1584705,2020-05-09 18:41:01,1584705,None,None,None,None,0,14,323,337
DA245,HHT,c,1,2020-05-09 18:35:57,1466655,2020-05-09 18:35:58,1466655,2020-05-09 18:36:22,1466655,2020-05-09 23:00:04,1466655,None,None,None,None,1,24,15822,15847
DA246,HHT,c,1,2020-05-09 18:38:06,1456755,2020-05-09 18:38:46,1456755,2020-05-09 18:40:54,1456755,2020-05-09 18:40:55,1456755,None,None,None,None,40,128,1,169
DA247,HHT,c,1,2020-05-09 18:41:00,1584705,2020-05-09 18:41:02,1584705,2020-05-09 18:43:32,1584705,2020-05-09 18:43:32,1584705,None,None,None,None,2,150,0,152
DA248,HHT,c,1,2020-05-09 18:45:48,1584705,2020-05-09 18:45:48,1584705,2020-05-09 18:46:00,1584705,2020-05-09 18:49:01,1584705,None,None,None,None,0,12,181,193
AA019,HHT,c,1,2020-05-09 18:46:35,1584705,2020-05-09 18:49:01,1584705,2020-05-09 19:01:57,1584705,2020-05-09 19:25:21,1584705,None,None,None,None,146,776,1404,2326
DA249,HHT,c,1,2020-05-09 18:51:51,1456755,2020-05-09 18:51:51,1456755,2020-05-09 18:54:12,1456755,2020-05-09 18:54:12,1456755,None,None,None,None,0,141,0,141
DA250,HHT,c,1,2020-05-09 19:01:37,1456755,2020-05-09 19:01:37,1456755,None,1456755,None,1456755,None,None,None,None,0,None,None,None
DA251,HHT,c,1,2020-05-09 19:25:19,1584705,2020-05-09 19:25:21,1584705,2020-05-09 19:27:45,1584705,2020-05-09 23:00:03,1584705,None,None,None,None,2,144,12738,12884
DA002,HHT,c,1,2020-05-11 09:57:44,1584705,2020-05-11 09:57:48,1584705,2020-05-11 10:00:44,1584705,2020-05-11 10:00:44,1584705,None,None,None,None,4,176,0,180
AA001,HHT,c,1,2020-05-11 09:59:06,1584705,2020-05-11 10:00:45,1584705,2020-05-11 10:05:43,1584705,2020-05-11 10:05:49,1584705,None,None,None,None,99,298,6,403
DA006,HHT,c,1,2020-05-11 09:59:47,1371590,2020-05-11 10:00:49,1371590,2020-05-11 10:01:10,1371590,2020-05-11 10:01:11,1371590,None,None,None,None,62,21,1,84
DB001,HHT,c,1,2020-05-11 10:00:46,1456755,2020-05-11 10:01:30,1456755,2020-05-11 10:10:38,1456755,2020-05-11 10:10:38,1456755,None,None,None,None,44,548,0,592
AA002,HHT,c,1,2020-05-11 10:14:50,1584705,2020-05-11 10:14:56,1584705,2020-05-11 10:23:07,1584705,2020-05-11 10:23:17,1584705,None,None,None,None,6,491,10,507
DA010,HHT,c,1,2020-05-11 10:18:14,1371590,2020-05-11 10:18:34,1371590,2020-05-11 10:18:44,1371590,2020-05-11 10:18:45,1371590,None,None,None,None,20,10,1,31
AA003,HHT,c,1,2020-05-11 10:25:00,1584705,2020-05-11 10:25:00,1584705,2020-05-11 10:35:59,1584705,2020-05-11 10:40:14,1584705,None,None,None,None,0,659,255,914
DB002,HHT,c,1,2020-05-11 10:26:32,1456755,2020-05-11 10:27:02,1456755,2020-05-11 10:27:06,1456755,2020-05-11 10:27:17,1456755,None,None,None,None,30,4,11,45
AA005,HHT,c,1,2020-05-11 10:37:06,1584705,2020-05-11 10:40:15,1584705,2020-05-11 10:50:55,1584705,2020-05-11 10:51:10,1584705,None,None,None,None,189,640,15,844
DB003,HHT,c,1,2020-05-11 10:40:00,1371590,2020-05-11 10:40:00,1371590,2020-05-11 10:40:22,1371590,2020-05-11 10:40:23,1371590,None,None,None,None,0,22,1,23
DA017,HHT,c,1,2020-05-11 10:44:26,1456755,2020-05-11 10:44:32,1456755,2020-05-11 10:44:56,1456755,2020-05-11 11:01:23,1456755,None,None,None,None,6,24,987,1017
DA019,HHT,c,1,2020-05-11 10:52:24,1371590,2020-05-11 10:52:24,1371590,2020-05-11 10:52:29,1371590,2020-05-11 10:52:29,1371590,None,None,None,None,0,5,0,5
AA006,HHT,c,1,2020-05-11 10:53:11,1584705,2020-05-11 10:53:11,1584705,2020-05-11 10:59:28,1584705,2020-05-11 10:59:29,1584705,None,None,None,None,0,377,1,378
AA007,HHT,c,1,2020-05-11 10:56:14,1584705,2020-05-11 10:59:30,1584705,2020-05-11 11:03:58,1584705,2020-05-11 11:16:08,1584705,None,None,None,None,196,268,730,1194
DA021,HHT,c,1,2020-05-11 10:58:13,1371590,2020-05-11 10:58:13,1371590,2020-05-11 10:58:20,1371590,2020-05-11 11:01:21,1371590,None,None,None,None,0,7,181,188
DA023,HHT,c,1,2020-05-11 11:04:30,1456755,2020-05-11 11:04:31,1456755,2020-05-11 11:22:11,1456755,2020-05-11 11:24:24,1456755,None,None,None,None,1,1060,133,1194
DA025,HHT,c,1,2020-05-11 11:08:30,1371590,2020-05-11 11:08:30,1371590,2020-05-11 11:08:36,1371590,2020-05-11 11:08:37,1371590,None,None,None,None,0,6,1,7
DA028,HHT,c,1,2020-05-11 11:16:52,1371590,2020-05-11 11:16:53,1371590,2020-05-11 11:17:03,1371590,2020-05-11 11:17:03,1371590,None,None,None,None,1,10,0,11
DA029,HHT,c,1,2020-05-11 11:22:00,1584705,2020-05-11 11:22:00,1584705,2020-05-11 11:34:34,1584705,2020-05-11 11:34:36,1584705,None,None,None,None,0,754,2,756
DA032,HHT,c,1,2020-05-11 11:24:13,1456755,2020-05-11 11:24:24,1456755,2020-05-11 11:29:39,1456755,2020-05-11 11:29:39,1456755,None,None,None,None,11,315,0,326
DA034,HHT,c,1,2020-05-11 11:28:18,1456755,2020-05-11 11:29:39,1456755,None,1456755,None,1456755,None,None,None,None,81,None,None,None
DA035,HHT,c,1,2020-05-11 11:32:03,1371590,2020-05-11 11:32:18,1371590,2020-05-11 11:32:24,1371590,2020-05-11 11:32:25,1371590,None,None,None,None,15,6,1,22
BA001,HHT,c,1,2020-05-11 11:33:14,BA002,2020-05-11 11:33:15,BA002,2020-05-11 11:33:27,BA002,2020-05-11 12:11:47,BA002,None,None,None,None,1,12,2300,2313
DA036,HHT,c,1,2020-05-11 11:38:21,1584705,2020-05-11 11:38:21,1584705,2020-05-11 11:38:36,1584705,2020-05-11 11:41:39,1584705,None,None,None,None,0,15,183,198
DA038,HHT,c,1,2020-05-11 11:39:52,1371590,2020-05-11 11:39:53,1371590,2020-05-11 11:39:59,1371590,2020-05-11 11:40:00,1371590,None,None,None,None,1,6,1,8
DA040,HHT,c,1,2020-05-11 11:40:42,1456755,2020-05-11 11:41:06,1456755,2020-05-11 11:44:38,1456755,2020-05-11 11:44:39,1456755,None,None,None,None,24,212,1,237
DA041,HHT,c,1,2020-05-11 11:41:34,1584705,2020-05-11 11:41:39,1584705,2020-05-11 11:44:22,1584705,2020-05-11 11:44:22,1584705,None,None,None,None,5,163,0,168
AA010,HHT,c,1,2020-05-11 11:43:26,1584705,2020-05-11 11:44:23,1584705,2020-05-11 11:54:47,1584705,2020-05-11 11:54:47,1584705,None,None,None,None,57,624,0,681
DA043,HHT,c,1,2020-05-11 11:47:41,1371590,2020-05-11 11:47:41,1371590,2020-05-11 11:47:46,1371590,2020-05-11 11:47:47,1371590,None,None,None,None,0,5,1,6
DB005,HHT,c,1,2020-05-11 11:51:37,1456755,2020-05-11 11:51:38,1456755,None,1456755,None,1456755,None,None,None,None,1,None,None,None
DA045,HHT,c,1,2020-05-11 11:51:48,1371590,2020-05-11 11:51:57,1371590,2020-05-11 11:52:03,1371590,2020-05-11 11:52:04,1371590,None,None,None,None,9,6,1,16
DA047,HHT,c,1,2020-05-11 11:54:28,1584705,2020-05-11 11:54:47,1584705,2020-05-11 12:12:38,1584705,2020-05-11 12:12:39,1584705,None,None,None,None,19,1071,1,1091
DA049,HHT,c,1,2020-05-11 11:55:01,1456755,2020-05-11 11:55:27,1456755,2020-05-11 11:55:47,1456755,2020-05-11 12:04:08,1456755,None,None,None,None,26,20,501,547
BA002,HHT,c,1,2020-05-11 12:01:40,BA001,2020-05-11 12:01:40,BA001,2020-05-11 12:13:12,BA001,2020-05-11 12:13:13,BA001,None,None,None,None,0,692,1,693
AA012,HHT,c,1,2020-05-11 12:10:22,1584705,2020-05-11 12:15:01,1584705,2020-05-11 12:15:37,1584705,2020-05-11 12:28:10,1584705,None,None,None,None,279,36,753,1068
BA003,HHT,c,1,2020-05-11 12:12:12,BA002,2020-05-11 12:12:12,BA002,2020-05-11 12:12:23,BA002,2020-05-11 13:10:43,BA002,None,None,None,None,0,11,3500,3511
DA060,HHT,c,1,2020-05-11 12:32:47,1584705,2020-05-11 12:32:48,1584705,2020-05-11 12:40:16,1584705,2020-05-11 12:40:18,1584705,None,None,None,None,1,448,2,451
AA013,HHT,c,1,2020-05-11 12:36:31,1466655,2020-05-11 12:36:49,1466655,2020-05-11 12:56:28,1466655,2020-05-11 12:56:28,1466655,None,None,None,None,18,1179,0,1197
DA063,HHT,c,1,2020-05-11 12:42:00,1584705,2020-05-11 12:42:00,1584705,2020-05-11 12:45:00,1584705,2020-05-11 12:45:08,1584705,None,None,None,None,0,180,8,188
DA066,HHT,c,1,2020-05-11 12:44:37,1584705,2020-05-11 12:45:08,1584705,2020-05-11 12:45:44,1584705,2020-05-11 12:48:17,1584705,None,None,None,None,31,36,153,220
DA068,HHT,c,1,2020-05-11 12:48:20,1584705,2020-05-11 12:48:20,1584705,2020-05-11 12:48:40,1584705,2020-05-11 12:55:31,1584705,None,None,None,None,0,20,411,431
DA071,HHT,c,1,2020-05-11 12:51:27,1584705,2020-05-11 12:55:31,1584705,2020-05-11 12:57:56,1584705,2020-05-11 13:00:45,1584705,None,None,None,None,244,145,169,558
AA016,HHT,c,1,2020-05-11 12:52:27,1466655,2020-05-11 12:56:28,1466655,2020-05-11 12:56:43,1466655,2020-05-11 12:59:04,1466655,None,None,None,None,241,15,141,397
DA073,HHT,c,1,2020-05-11 12:57:59,1466655,2020-05-11 12:59:04,1466655,2020-05-11 13:01:26,1466655,2020-05-11 13:04:35,1466655,None,None,None,None,65,142,189,396
DA074,HHT,c,1,2020-05-11 12:58:15,1584705,2020-05-11 13:00:45,1584705,2020-05-11 13:01:00,1584705,2020-05-11 13:04:59,1584705,None,None,None,None,150,15,239,404
DA077,HHT,c,1,2020-05-11 13:04:32,1466655,2020-05-11 13:04:36,1466655,2020-05-11 13:04:46,1466655,2020-05-11 13:19:52,1466655,None,None,None,None,4,10,906,920
DA078,HHT,c,1,2020-05-11 13:05:08,1584705,2020-05-11 13:05:09,1584705,2020-05-11 13:10:27,1584705,2020-05-11 13:10:28,1584705,None,None,None,None,1,318,1,320
DA081,HHT,c,1,2020-05-11 13:08:09,1584705,2020-05-11 13:10:28,1584705,2020-05-11 13:13:21,1584705,2020-05-11 13:13:21,1584705,None,None,None,None,139,173,0,312
BA004,HHT,c,1,2020-05-11 13:10:13,BA001,2020-05-11 13:10:13,BA001,2020-05-11 13:13:42,BA001,2020-05-11 13:13:43,BA001,None,None,None,None,0,209,1,210
DA085,HHT,c,1,2020-05-11 13:11:10,1584705,2020-05-11 13:13:22,1584705,2020-05-11 13:23:10,1584705,2020-05-11 13:23:11,1584705,None,None,None,None,132,588,1,721
DA087,HHT,c,1,2020-05-11 13:19:48,1466655,2020-05-11 13:19:52,1466655,2020-05-11 13:20:05,1466655,2020-05-11 13:48:08,1466655,None,None,None,None,4,13,1683,1700
DA091,HHT,c,1,2020-05-11 13:22:39,1584705,2020-05-11 13:23:11,1584705,2020-05-11 13:28:43,1584705,2020-05-11 13:28:56,1584705,None,None,None,None,32,332,13,377
DA094,HHT,c,1,2020-05-11 13:28:31,1584705,2020-05-11 13:28:56,1584705,2020-05-11 13:31:04,1584705,2020-05-11 13:31:24,1584705,None,None,None,None,25,128,20,173
DA095,HHT,c,1,2020-05-11 13:29:09,1371590,2020-05-11 13:29:12,1371590,2020-05-11 13:29:16,1371590,2020-05-11 13:29:16,1371590,None,None,None,None,3,4,0,7
DA096,HHT,c,1,2020-05-11 13:31:00,1456755,2020-05-11 13:31:01,1456755,2020-05-11 13:33:06,1456755,2020-05-11 13:33:07,1456755,None,None,None,None,1,125,1,127
DB007,HHT,c,1,2020-05-11 13:31:32,1584705,2020-05-11 13:31:32,1584705,2020-05-11 13:34:11,1584705,2020-05-11 13:34:12,1584705,None,None,None,None,0,159,1,160
DA097,HHT,c,1,2020-05-11 13:31:43,1371590,2020-05-11 13:32:09,1371590,2020-05-11 13:32:19,1371590,2020-05-11 13:32:20,1371590,None,None,None,None,26,10,1,37
DA098,HHT,c,1,2020-05-11 13:32:16,1584705,2020-05-11 13:34:12,1584705,2020-05-11 13:36:03,1584705,2020-05-11 13:36:03,1584705,None,None,None,None,116,111,0,227
DA099,HHT,c,1,2020-05-11 13:33:50,1456755,2020-05-11 13:34:37,1456755,None,1456755,None,1456755,None,None,None,None,47,None,None,None
DA100,HHT,c,1,2020-05-11 13:34:11,1371590,2020-05-11 13:34:41,1371590,2020-05-11 13:34:50,1371590,2020-05-11 13:34:51,1371590,None,None,None,None,30,9,1,40
DA101,HHT,c,1,2020-05-11 13:35:15,1584705,2020-05-11 13:36:04,1584705,2020-05-11 13:38:06,1584705,2020-05-11 13:39:30,1584705,None,None,None,None,49,122,84,255
DA102,HHT,c,1,2020-05-11 13:36:01,1371590,2020-05-11 13:36:53,1371590,2020-05-11 13:36:57,1371590,2020-05-11 13:36:58,1371590,None,None,None,None,52,4,1,57
AA018,HHT,c,1,2020-05-11 13:37:59,1584705,2020-05-11 13:39:30,1584705,2020-05-11 13:58:19,1584705,2020-05-11 13:59:21,1584705,None,None,None,None,91,1129,62,1282
DA103,HHT,c,1,2020-05-11 13:40:09,1456755,2020-05-11 13:40:29,1456755,2020-05-11 13:43:20,1456755,2020-05-11 13:43:21,1456755,None,None,None,None,20,171,1,192
DA104,HHT,c,1,2020-05-11 13:41:04,1371590,2020-05-11 13:42:23,1371590,2020-05-11 13:42:34,1371590,2020-05-11 13:42:34,1371590,None,None,None,None,79,11,0,90
DB008,HHT,c,1,2020-05-11 13:43:03,1456755,2020-05-11 13:43:55,1456755,2020-05-11 13:48:30,1456755,2020-05-11 13:48:31,1456755,None,None,None,None,52,275,1,328
BA005,HHT,c,1,2020-05-11 13:46:07,BA002,2020-05-11 13:46:08,BA002,2020-05-11 13:46:15,BA002,2020-05-11 14:07:18,BA002,None,None,None,None,1,7,1263,1271
DA106,HHT,c,1,2020-05-11 13:47:42,1466655,2020-05-11 13:48:09,1466655,2020-05-11 13:48:19,1466655,2020-05-11 13:54:54,1466655,None,None,None,None,27,10,395,432
DA107,HHT,c,1,2020-05-11 13:53:38,1371590,2020-05-11 13:53:38,1371590,2020-05-11 13:54:42,1371590,2020-05-11 13:54:44,1371590,None,None,None,None,0,64,2,66
DA108,HHT,c,1,2020-05-11 13:54:47,1466655,2020-05-11 13:54:54,1466655,2020-05-11 13:55:13,1466655,2020-05-11 14:10:22,1466655,None,None,None,None,7,19,909,935
DA109,HHT,c,1,2020-05-11 13:54:57,1456755,2020-05-11 13:54:57,1456755,2020-05-11 14:01:06,1456755,2020-05-11 14:02:59,1456755,None,None,None,None,0,369,113,482
DA111,HHT,c,1,2020-05-11 13:59:04,1371590,2020-05-11 13:59:13,1371590,2020-05-11 13:59:18,1371590,2020-05-11 13:59:19,1371590,None,None,None,None,9,5,1,15
DB009,HHT,c,1,2020-05-11 14:01:45,1584705,2020-05-11 14:01:46,1584705,2020-05-11 14:04:41,1584705,2020-05-11 14:04:45,1584705,None,None,None,None,1,175,4,180
BA006,HHT,c,1,2020-05-11 14:06:08,BA002,2020-05-11 14:07:19,BA002,2020-05-11 14:07:31,BA002,2020-05-11 14:14:10,BA002,None,None,None,None,71,12,399,482
DA112,HHT,c,1,2020-05-11 14:06:50,1584705,2020-05-11 14:06:50,1584705,2020-05-11 14:10:30,1584705,2020-05-11 14:11:44,1584705,None,None,None,None,0,220,74,294
AA019,HHT,c,1,2020-05-11 14:08:36,1466655,2020-05-11 14:10:22,1466655,2020-05-11 14:11:04,1466655,2020-05-11 14:40:08,1466655,None,None,None,None,106,42,1744,1892
BA007,HHT,c,1,2020-05-11 14:09:12,BA002,2020-05-11 14:14:10,BA002,2020-05-11 14:14:23,BA002,2020-05-11 14:53:27,BA002,None,None,None,None,298,13,2344,2655
DB010,HHT,c,1,2020-05-11 14:10:07,1371590,2020-05-11 14:10:07,1371590,2020-05-11 14:10:19,1371590,2020-05-11 14:10:20,1371590,None,None,None,None,0,12,1,13
AA020,HHT,c,1,2020-05-11 14:11:02,1584705,2020-05-11 14:11:44,1584705,2020-05-11 14:14:28,1584705,2020-05-11 14:14:36,1584705,None,None,None,None,42,164,8,214
DA115,HHT,c,1,2020-05-11 14:11:54,1456755,2020-05-11 14:12:55,1456755,None,1456755,None,1456755,None,None,None,None,61,None,None,None
DA116,HHT,c,1,2020-05-11 14:12:20,1371590,2020-05-11 14:13:10,1371590,2020-05-11 14:13:33,1371590,2020-05-11 14:13:33,1371590,None,None,None,None,50,23,0,73
AA021,HHT,c,1,2020-05-11 14:13:12,1584705,2020-05-11 14:14:36,1584705,2020-05-11 14:15:22,1584705,2020-05-11 14:34:44,1584705,None,None,None,None,84,46,1162,1292
