RAW Data Report
Branch:Kowloon Bay Centre(KB)
Start datetime:2024-01-01T00:00
End datetime:2024-07-01T00:00
Counter Type:ALL
Ticket,Type,No.,Branch,Counter Type,Step,Start Time,Start by,Call Time,Call by,Process Time,Process by,Done Time,Done by,No Show Time,No Show by,Void Time,Void by,Waiting Time (s),Walking time (s),Process time (s),Total time (s)
B004,B,004,KB,c,1,2024-06-16 19:54:50,tim,2024-06-18 11:49:16,elton,None,None,None,None,2024-06-18 11:50:58,elton,None,None,143666,101,None,None
B005,B,005,KB,c,1,2024-06-16 21:47:52,tim,2024-06-17 19:01:44,tim,None,None,None,None,2024-06-17 19:01:55,tim,None,None,76432,10,None,None
B006,B,006,KB,c,1,2024-06-17 12:37:02,tim,2024-06-18 11:54:36,elton,None,None,None,None,2024-06-18 11:56:25,elton,None,None,83853,109,None,None
B007,B,007,KB,c,1,2024-06-17 16:07:04,tim,2024-06-18 11:34:04,elton,None,None,None,None,2024-06-18 11:47:28,elton,None,None,70019,803,None,None
A004,A,004,KB,c,1,2024-06-18 12:21:32,userapi,2024-06-18 12:29:19,elton,None,None,None,None,2024-06-18 12:35:39,elton,None,None,467,380,None,None
A005,A,005,KB,c,1,2024-06-18 12:28:34,userapi,2024-06-18 16:59:23,elton,None,None,None,None,2024-06-18 16:59:33,elton,None,None,16248,9,None,None
A006,A,006,KB,c,1,2024-06-18 12:28:42,userapi,2024-06-18 16:59:34,elton,2024-06-18 16:59:37,elton,2024-06-18 16:59:37,elton,None,None,None,None,16252,2,3,16257
B008,B,008,KB,c,1,2024-06-18 12:37:57,elton,2024-06-18 14:07:44,tim,None,None,None,None,2024-06-18 14:08:04,tim,None,None,5387,19,None,None
B009,B,009,KB,c,1,2024-06-18 12:40:04,elton,2024-06-18 14:08:14,tim,None,None,None,None,2024-06-18 14:08:22,tim,None,None,5290,7,None,None
B010,B,010,KB,c,1,2024-06-18 12:46:07,elton,2024-06-18 14:08:25,tim,None,None,None,None,2024-06-18 14:11:41,tim,None,None,4938,195,None,None
B011,B,011,KB,c,1,2024-06-18 13:55:25,tim,2024-06-18 14:12:22,tim,None,None,None,None,2024-06-18 14:13:20,tim,None,None,1016,58,None,None
B012,B,012,KB,c,1,2024-06-18 14:00:27,tim,2024-06-18 14:13:22,tim,None,None,None,None,2024-06-18 14:14:21,tim,None,None,775,58,None,None
B013,B,013,KB,c,1,2024-06-18 14:02:13,tim,2024-06-18 14:14:28,tim,None,None,None,None,None,None,None,None,735,None,None,None
B014,B,014,KB,c,1,2024-06-18 14:06:49,tim,2024-06-18 16:40:04,elton,2024-06-18 16:40:31,elton,2024-06-18 16:40:37,elton,None,None,None,None,9195,27,32,9254
B015,B,015,KB,c,1,2024-06-18 17:00:36,elton,2024-06-18 17:21:16,elton,None,None,None,None,2024-06-18 17:21:24,elton,None,None,1239,7,None,None
A007,A,007,KB,c,1,2024-06-18 17:00:49,userapi,2024-06-18 17:23:47,elton,None,None,None,None,2024-06-18 17:23:49,elton,None,None,1378,2,None,None
A008,A,008,KB,c,1,2024-06-18 17:00:50,userapi,2024-06-18 17:23:51,elton,None,None,None,None,2024-06-18 17:23:53,elton,None,None,1380,1,None,None
A009,A,009,KB,c,1,2024-06-18 17:00:51,userapi,2024-06-18 17:41:33,elton,None,None,None,None,2024-06-18 17:42:14,elton,None,None,2441,41,None,None
A010,A,010,KB,c,1,2024-06-18 17:01:45,userapi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
A011,A,011,KB,c,1,2024-06-18 17:01:47,userapi,None,None,None,None,None,None,None,None,None,None,None,None,None,None
B016,B,016,KB,c,1,2024-06-18 17:24:16,elton,2024-06-18 17:28:27,elton,None,None,None,None,2024-06-18 17:41:31,elton,None,None,251,784,None,None
B017,B,017,KB,c,1,2024-06-18 17:28:14,elton,2024-06-18 17:42:16,elton,2024-06-19 16:58:16,elton,2024-06-19 16:58:17,elton,None,None,None,None,842,83759,83760,168361
B018,B,018,KB,c,1,2024-06-19 16:58:04,elton,2024-06-19 16:58:20,elton,2024-06-19 16:58:25,elton,2024-06-19 16:58:26,elton,None,None,None,None,16,4,6,26
